# Wlen(nm) Transmission Continuum
1.921314571305012123e+03 2.322358857790302877e-01 5.971668655601842790e-01
1.921321103637825900e+03 2.390255623672085938e-01 5.973118995245572105e-01
1.921327814857231715e+03 2.475966740259110122e-01 5.974605578790739280e-01
1.921334313976333988e+03 2.574946451547892035e-01 5.976041828575319181e-01
1.921341022404476462e+03 2.679945047837223315e-01 5.977520877895622364e-01
1.921347556951364822e+03 2.785428600105307462e-01 5.978958218254880608e-01
1.921354196274734250e+03 2.888667685168270771e-01 5.980415200025500644e-01
1.921360799494233788e+03 2.988451457346754103e-01 5.981860857711210899e-01
1.921367369537335435e+03 3.084887480841584373e-01 5.983295888788413563e-01
1.921374041604853574e+03 3.178495005243046068e-01 5.984749774012254608e-01
1.921380542192162920e+03 3.269602267673570872e-01 5.986162971374757724e-01
1.921387283283134821e+03 3.358327213861526106e-01 5.987624994221089070e-01
1.921393781609168173e+03 3.444557281209120747e-01 5.989031035047537310e-01
1.921400457157182473e+03 3.527980823662902887e-01 5.990472020064183667e-01
1.921407022674665541e+03 3.608066796149871913e-01 5.991885894765908160e-01
1.921413628342154652e+03 3.684372513572394814e-01 5.993305057094832078e-01
1.921420263307608593e+03 3.756662342050937076e-01 5.994727125714958138e-01
1.921426798918944769e+03 3.824761900461572384e-01 5.996124583271372765e-01
1.921433503507908654e+03 3.888541373019740455e-01 5.997554754941489819e-01
1.921440001220579688e+03 3.947775217054778074e-01 5.998937498363543508e-01
1.921446710941499987e+03 4.002093280138970810e-01 6.000361953444141028e-01
1.921453240807653856e+03 4.050987618899614118e-01 6.001744907527112316e-01
1.921459880047436400e+03 4.093864485855328583e-01 6.003147673006683505e-01
1.921466479961868117e+03 4.129929551050998127e-01 6.004538782250818940e-01
1.921473048544785115e+03 4.158104054421224438e-01 6.005919976958467021e-01
1.921479718683134706e+03 4.176977019832986415e-01 6.007319149565275573e-01
1.921486216433426080e+03 4.184617354201660699e-01 6.008678892436838392e-01
1.921492956971364038e+03 4.178367236494411330e-01 6.010086036495987383e-01
1.921499453889568940e+03 4.154606398722823224e-01 6.011439043869466481e-01
1.921506124648332388e+03 4.108329994548873820e-01 6.012824908412284231e-01
1.921512691564001443e+03 4.032675944733146167e-01 6.014185891299612674e-01
1.921519291064831577e+03 3.918408013293551151e-01 6.015550324048242192e-01
1.921525928805180911e+03 3.754046924032291566e-01 6.016919325577206878e-01
1.921532456872216471e+03 3.527221021816984714e-01 6.018262446351555495e-01
1.921539165613018668e+03 3.229412391135556004e-01 6.019639373711631603e-01
1.921545661916777135e+03 2.864950479891168467e-01 6.020969450994733130e-01
1.921552362139988873e+03 2.459575625713409652e-01 6.022337934245070024e-01
1.921558898110374912e+03 2.063932821161513220e-01 6.023669599868143321e-01
1.921565526474231774e+03 1.743583996963066207e-01 6.025016795198746555e-01
1.921572133870413836e+03 1.555670445895304121e-01 6.026356429789260227e-01
1.921578690198951790e+03 1.527544848314398573e-01 6.027682457880456646e-01
1.921585369196805459e+03 1.647332310419644952e-01 6.029029967750964003e-01
1.921591864885643872e+03 1.863790765544084127e-01 6.030337275431486566e-01
1.921598592517548923e+03 2.097813340395620341e-01 6.031687920483298493e-01
1.921605099597352364e+03 2.265912862660545146e-01 6.032991054289794652e-01
1.921611754768126957e+03 2.303694496325569274e-01 6.034320560111945397e-01
1.921618333875195731e+03 2.180244621348007006e-01 6.035631608339264709e-01
1.921624916408773743e+03 1.905490777572608485e-01 6.036940096449749937e-01
1.921631567719086433e+03 1.531307703793159669e-01 6.038258964556704189e-01
1.921638077439370591e+03 1.135243840059133730e-01 6.039546556558524903e-01
1.921644801128935569e+03 7.918114481012288042e-02 6.040873149913860152e-01
1.921651296021294911e+03 5.536598538897678085e-02 6.042151400223582103e-01
1.921657975941656559e+03 4.351123403819483898e-02 6.043462787533953051e-01
1.921664528815887707e+03 4.050893421288445650e-02 6.044746006691082973e-01
1.921671135496819716e+03 4.076300796730808473e-02 6.046036530528956510e-01
1.921677761176221793e+03 3.961341695434202753e-02 6.047327509397064649e-01
1.921684294441524344e+03 3.482949142149595334e-02 6.048597292173223394e-01
1.921690993102207813e+03 2.676011482843282732e-02 6.049895935296916161e-01
1.921697487378560709e+03 1.801077217169657491e-02 6.051151782653793054e-01
1.921704189989955921e+03 1.203197725056901965e-02 6.052444645253673983e-01
1.921710718688847237e+03 1.191891089568310885e-02 6.053700769633262313e-01
1.921717347458224140e+03 2.014372182401930056e-02 6.054972927630580815e-01
1.921723949564567874e+03 3.855681676938241265e-02 6.056236746865027998e-01
1.921730504315626149e+03 6.808602836991571594e-02 6.057488323455297863e-01
1.921737180005635082e+03 1.083482969715412608e-01 6.058759741288226586e-01
1.921743673665506321e+03 1.573934541790763253e-01 6.059993345889391758e-01
1.921750396908155381e+03 2.117717272045804289e-01 6.061267300102136657e-01
1.921756903490428613e+03 2.672600967275979289e-01 6.062497041278811505e-01
1.921763552288118490e+03 3.201671115515661858e-01 6.063750454309289051e-01
1.921770132880479878e+03 3.680849733527002954e-01 6.064987820877842939e-01
1.921776707056804298e+03 4.099953819192338478e-01 6.066220816682313943e-01
1.921783361835570076e+03 4.459485131504107303e-01 6.067465711608810430e-01
1.921789861214094344e+03 4.765673822918282676e-01 6.068678414207289151e-01
1.921796590355610533e+03 5.026519484730783693e-01 6.069930740389570811e-01
1.921803083216985897e+03 5.249656317816592255e-01 6.071135965064675677e-01
1.921809749981629011e+03 5.442006401662053960e-01 6.072370276160761193e-01
1.921816311120308683e+03 5.609031800554803437e-01 6.073581874676100556e-01
1.921822902660185719e+03 5.755102253476968022e-01 6.074795937173197435e-01
1.921829538588363903e+03 5.883778553755437679e-01 6.076014989303437641e-01
1.921836054726937618e+03 5.997984433809805394e-01 6.077208927952983952e-01
1.921842765621063108e+03 6.100141133393826021e-01 6.078435335848002552e-01
1.921849257864866786e+03 6.192092112682237026e-01 6.079618683750402930e-01
1.921855940533879220e+03 6.275366126962904634e-01 6.080833557821555546e-01
1.921862484280403351e+03 6.351230949234938361e-01 6.082020050823520041e-01
1.921869091120893245e+03 6.420719513978222492e-01 6.083214849287409409e-01
1.921875710260364940e+03 6.484638199744834353e-01 6.084408716739443390e-01
1.921882241095692052e+03 6.543688445761994821e-01 6.085583565055696642e-01
1.921888935804663788e+03 6.598438809130899863e-01 6.086784708383182751e-01
1.921895427430420114e+03 6.649280475400882739e-01 6.087946339418663921e-01
1.921902123939990133e+03 6.696526930888674345e-01 6.089141462968127305e-01
1.921908652357110213e+03 6.740408932975910927e-01 6.090303491206014996e-01
1.921915272434045846e+03 6.781076200046939340e-01 6.091478716423811557e-01
1.921921876847918838e+03 6.818616756774463772e-01 6.092648035606345047e-01
1.921928420315475250e+03 6.853207262077845030e-01 6.093803488636850840e-01
1.921935100902757085e+03 6.885260295764290550e-01 6.094979999487977196e-01
1.921941591909989256e+03 6.915479580667266424e-01 6.096120073473428880e-01
1.921948300195077536e+03 6.944724890220490554e-01 6.097295154316016985e-01
1.921954815346773103e+03 6.973605371920083007e-01 6.098433337031151646e-01
1.921961446594758627e+03 7.002277182656708732e-01 6.099588701020353110e-01
1.921968038347368292e+03 7.030439425222553274e-01 6.100734086915006182e-01
1.921974592381402772e+03 7.057349026306047879e-01 6.101869860856895533e-01
